Designator,Footprint,Quantity,Value,LCSC Part #
ANT2,Antenna 2.4GHz Inverted-F Meandered,1,2.4 GHz,
"C1, C2",0603,2,10uF 6.3V,
"C10, C14, C4, C5, C6, C7, C8, C9",0402,8,1uF,
"C11, C12, C13, C15, C17, C18",0603,6,1uF 16V,
C16,0603,1,10uF 10V,
C3,0402,1,1uF 16V,
"C39, C40, C45, C49",0402,4,10nF,
"C41, C42, C43, C47, C51, C52",0402,6,100nF,
"C44, C50",0603,2,10u,
"C46, C48",0402,2,3.3pF,
D2,0805,1,LED_3V3,
D4,0805,1,LED_BLUE,
D5,0805,1,LED_GREEN,
"J1, J3",Jack_3.5mm_KoreanHropartsElec_PJ-320D-4A_Horizontal,2,AudioJack4_Ground,
J2,USB_C_Receptacle_GCT_USB4110,1,USB_C_Receptacle_USB2.0,
"L1, L3",0805,2,10uH,
L2,0402,1,2.2nH,
"MK1, MK2",ICS40720,2,ICS-40720,
"R1, R23, R24, R35, R36, R6",0402,6,1k,
"R21, R22, R25, R26",0402,4,2k2,
"R31, R32",0402,2,4k7,
"R4, R5",0402,2,5k1,
TP2,TestPoint_Pad_D1.0mm,1,TEST_3V3,
"TP7, TP8",TestPoint_Pad_2x1_D1.0mm,2,TEST_MIC_1,
U2,VFBGA82_3MX_MCH,1,IS2083BM-232,
U5,SOT-23-6,1,USBLC6-2SC6,
