Ref,Val,Package,PosX,PosY,Rot,Side
"ANT2","2.4 GHz","Antenna 2.4GHz Inverted-F Meandered",151.218900,-74.358900,0.000000,top
"C1","10uF 6.3V","C_0603_1608Metric",180.130000,-77.490000,0.000000,top
"C2","10uF 6.3V","C_0603_1608Metric",180.130000,-80.000000,0.000000,top
"C3","1uF 16V","C_0402_1005Metric",183.570000,-77.220000,0.000000,top
"C4","1uF","C_0402_1005Metric",183.570000,-79.190000,0.000000,top
"C5","1uF","C_0402_1005Metric",183.570000,-81.160000,0.000000,top
"C6","1uF","C_0402_1005Metric",186.440000,-77.220000,0.000000,top
"C7","1uF","C_0402_1005Metric",186.440000,-79.190000,0.000000,top
"C8","1uF","C_0402_1005Metric",186.440000,-81.160000,0.000000,top
"C9","1uF","C_0402_1005Metric",189.310000,-77.220000,0.000000,top
"C10","1uF","C_0402_1005Metric",189.310000,-79.190000,0.000000,top
"C11","1uF 16V","C_0603_1608Metric",180.130000,-82.510000,0.000000,top
"C12","1uF 16V","C_0603_1608Metric",180.130000,-85.020000,0.000000,top
"C13","1uF 16V","C_0603_1608Metric",180.130000,-87.530000,0.000000,top
"C14","1uF","C_0402_1005Metric",189.310000,-81.160000,0.000000,top
"C15","1uF 16V","C_0603_1608Metric",180.130000,-90.040000,0.000000,top
"C16","10uF 10V","C_0603_1608Metric",180.130000,-92.550000,0.000000,top
"C17","1uF 16V","C_0603_1608Metric",180.130000,-95.060000,0.000000,top
"C18","1uF 16V","C_0603_1608Metric",180.130000,-97.570000,0.000000,top
"C39","10nF","C_0402_1005Metric",210.330000,-77.220000,0.000000,top
"C40","10nF","C_0402_1005Metric",210.330000,-79.190000,0.000000,top
"C41","100nF","C_0402_1005Metric",210.330000,-81.160000,0.000000,top
"C42","100nF","C_0402_1005Metric",210.330000,-83.130000,0.000000,top
"C43","100nF","C_0402_1005Metric",210.330000,-85.100000,0.000000,top
"C44","10u","C_0603_1608Metric",201.850000,-92.180000,0.000000,top
"C45","10nF","C_0402_1005Metric",167.500000,-101.980000,0.000000,top
"C46","3.3pF","C_0402_1005Metric",169.868900,-76.338900,0.000000,top
"C47","100nF","C_0402_1005Metric",161.902500,-94.947500,90.000000,top
"C48","3.3pF","C_0402_1005Metric",169.868900,-78.308900,0.000000,top
"C49","10nF","C_0402_1005Metric",165.240000,-101.880000,180.000000,top
"C50","10u","C_0603_1608Metric",160.602500,-95.497500,-90.000000,top
"C51","100nF","C_0402_1005Metric",161.310000,-104.860000,-90.000000,top
"C52","100nF","C_0402_1005Metric",162.310000,-104.860000,-90.000000,top
"D2","LED_3V3","LED_0805_2012Metric",156.217502,-101.412500,180.000000,top
"D4","LED_BLUE","LED_0805_2012Metric",168.688900,-70.153900,0.000000,top
"D5","LED_GREEN","LED_0805_2012Metric",168.688900,-73.193900,0.000000,top
"J1","AudioJack4_Ground","Jack_3.5mm_KoreanHropartsElec_PJ-320D-4A_Horizontal",202.120000,-81.760000,0.000000,top
"J2","USB_C_Receptacle_USB2.0","USB_C_Receptacle_GCT_USB4110",153.377500,-120.641250,0.000000,top
"J3","AudioJack4_Ground","Jack_3.5mm_KoreanHropartsElec_PJ-320D-4A_Horizontal",171.642244,-115.952244,90.000000,top
"L1","10uH","L_0805_2012Metric",184.410000,-83.520000,0.000000,top
"L2","2.2nH","L_0402_1005Metric",160.798900,-76.348900,0.000000,top
"L3","10uH","L_0805_2012Metric",184.410000,-86.270000,0.000000,top
"MK1","ICS-40720","ICS40720",196.295000,-90.335000,0.000000,top
"MK2","ICS-40720","ICS40720",166.420000,-96.010000,-90.000000,top
"R1","1k","R_0402_1005Metric",188.140000,-83.140000,0.000000,top
"R4","5k1","R_0402_1005Metric",150.157501,-109.813564,0.000000,top
"R5","5k1","R_0402_1005Metric",162.740000,-111.820000,-90.000000,top
"R6","1k","R_0402_1005Metric",155.161202,-99.447500,-90.000000,top
"R21","2k2","R_0402_1005Metric",207.480000,-88.280000,0.000000,top
"R22","2k2","R_0402_1005Metric",207.480000,-90.270000,0.000000,top
"R23","1k","R_0402_1005Metric",207.480000,-92.260000,0.000000,top
"R24","1k","R_0402_1005Metric",160.742500,-92.937500,90.000000,top
"R25","2k2","R_0402_1005Metric",161.902500,-92.957500,-90.000000,top
"R26","2k2","R_0402_1005Metric",163.240000,-101.920000,180.000000,top
"R31","4k7","R_0402_1005Metric",160.798900,-80.328900,0.000000,top
"R32","4k7","R_0402_1005Metric",160.798900,-82.318900,0.000000,top
"R35","1k","R_0402_1005Metric",160.798900,-84.308900,0.000000,top
"R36","1k","R_0402_1005Metric",160.798900,-86.298900,0.000000,top
"U2","IS2083BM-232","VFBGA82_3MX_MCH",168.500000,-87.140000,0.000000,top
"U5","USBLC6-2SC6","SOT-23-6",149.820001,-106.732500,-90.000000,top
