Designator,Mid X,Mid Y,Rotation,Layer
ANT2,151.2189,-74.3589,0.0,top
C1,180.13,-77.49,0.0,top
C10,189.31,-79.19,0.0,top
C11,180.13,-82.51,0.0,top
C12,180.13,-85.02,0.0,top
C13,180.13,-87.53,0.0,top
C14,189.31,-81.16,0.0,top
C15,180.13,-90.04,0.0,top
C16,180.13,-92.55,0.0,top
C17,180.13,-95.06,0.0,top
C18,180.13,-97.57,0.0,top
C2,180.13,-80.0,0.0,top
C3,183.57,-77.22,0.0,top
C39,210.33,-77.22,0.0,top
C4,183.57,-79.19,0.0,top
C40,210.33,-79.19,0.0,top
C41,210.33,-81.16,0.0,top
C42,210.33,-83.13,0.0,top
C43,210.33,-85.1,0.0,top
C44,201.85,-92.18,0.0,top
C45,167.5,-101.98,0.0,top
C46,169.8689,-76.3389,0.0,top
C47,161.9025,-94.9475,90.0,top
C48,169.8689,-78.3089,0.0,top
C49,165.24,-101.88,180.0,top
C5,183.57,-81.16,0.0,top
C50,160.6025,-95.4975,270.0,top
C51,161.31,-104.86,270.0,top
C52,162.31,-104.86,270.0,top
C6,186.44,-77.22,0.0,top
C7,186.44,-79.19,0.0,top
C8,186.44,-81.16,0.0,top
C9,189.31,-77.22,0.0,top
D2,156.217502,-101.4125,180.0,top
D4,168.6889,-70.1539,0.0,top
D5,168.6889,-73.1939,0.0,top
J1,202.12,-81.76,0.0,top
J2,153.3775,-120.64125,0.0,top
J3,171.642244,-115.952244,90.0,top
L1,184.41,-83.52,0.0,top
L2,160.7989,-76.3489,0.0,top
L3,184.41,-86.27,0.0,top
MK1,196.3075,-90.335,0.0,top
MK2,166.42,-96.0225,270.0,top
R1,188.14,-83.14,0.0,top
R21,207.48,-88.28,0.0,top
R22,207.48,-90.27,0.0,top
R23,207.48,-92.26,0.0,top
R24,160.7425,-92.9375,90.0,top
R25,161.9025,-92.9575,270.0,top
R26,163.24,-101.92,180.0,top
R31,160.7989,-80.3289,0.0,top
R32,160.7989,-82.3189,0.0,top
R35,160.7989,-84.3089,0.0,top
R36,160.7989,-86.2989,0.0,top
R4,150.157501,-109.813564,0.0,top
R5,162.74,-111.82,270.0,top
R6,155.161202,-99.4475,270.0,top
U2,168.5,-87.14,0.0,top
U5,149.820001,-106.7325,90.0,top
